//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name ST AR-15
ShortName TEMT95LSW
//弹药名称(短名)
Ammo 100RifleAmmo
Ammo 30RifleAmmo
Ammo 60RifleAmmo
Ammo TMAG30Ammo
Ammo TMAG30Ammo4
Ammo INFAmmo
Ammo INFAmmo1
Ammo INFAmmo2
Ammo GRIFFIN_HVA1
Ammo GRIFFIN_HVA2
Ammo GRIFFIN_HVA3
Ammo GRIFFIN_HVA4
Icon TEMT95LSW
//图标颜色:红色，绿色，蓝色, 最高填写 255.
Colour 255 255 255
ItemID 23805
//弹药装填时间, 1=20/1秒
ReloadTime 55
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 4
RandomRecoilRange 1.2
RandomRecoilYawRange 1.2
DecreaseRecoil 0.01
DecreaseRecoilYaw 10.0
//杀伤力
Damage 6
MeleeDamage 4
//这个值越高，子弹时速的越高
Accuracy 6
//循环时间
ShootDelay 2
ShootSound TEMT95LSWShoot
ReloadSound TEAR1Reload
Mode FullAuto
ShowRecoil true
ShowAccuracy true
ShowReloadTime true
//机瞄设置
Scope MSAOCG25
ZoomLevel 1.5
FOVZoomLevel 2.0
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model YE2403.TEMT95LSW
Texture TEMT95LSW_2403
ModelScale 0.45
//组件设置
Description §b<T.E.B.L> | §9<品质：军规>_AR-突击步枪_[Assult Rife]
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments HUD_FHZB HUD_PMG20 HUD_SRS99 HUD_TCPL HUD_TCPLXD HUD_TCPLZCL HUD_TEBL HUD_void HUD_voidH HUD_voidT HUD_YJD TEALL1 TEALL2 TEALL3 TEALL4 TEALL5 TEALL6 TEALL7 TEALL8 TEONLYSAR15 TEMAXD1 TEMAXD2 TEMAXD3 TEMAXD4 TEMAXD5 TEMAXM1 TEMAXM2 TEMAXM3 TEMAXM4 TEMAXM5 TEMAXZ1 TEMAXZ2 TEMAXZ3 TEMAXZ4 TEMAXZ5 TEMAXT1 TEMAXT2 TEMAXT3 TEMAXT4 TEMAXT5 TEMAXF1 TEMAXF2 TEMAXF3 TEMAXF4 TEMAXF5 TEALLSP1 TEALLSP2 TEALLSP3 TEALLSP4 TEALLSP5 TEALLSP6 TEALLSP7 TEALLSP8 TESDOOA2 TESDOOA3 TESDOOA4 GRIFFIN_HD1 GRIFFIN_HD2 GRIFFIN_HD3 GRIFFIN_HD4 GRIFFIN_QX1 GRIFFIN_QX2 GRIFFIN_QX3 GRIFFIN_QX4 GRIFFIN_SP1 GRIFFIN_SP2 GRIFFIN_SP3 GRIFFIN_SP4 GRIFFIN_XY1 GRIFFIN_XY2 GRIFFIN_XY3 GRIFFIN_XY4
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments True
AllowGripAttachments True
NumGenericAttachmentSlots 2
