Name §9战区特化系统：§a欺诈师
ShortName TEMAXD_NE3
Icon TEMAXD_NE3
//The type of attachment defines what slot in the gun it takes. Types are "generic", "barrel", "scope", "stock" and "grip"
AttachmentType generic
//If true, then this attachment will muffle all sounds from the gun. Needn't be a barrel attachment
Silencer false
//Flashlight variables
Flashlight false
FlashlightRange 10
FlashlightStrength 12
//近战伤害，伤害，散射，后坐力，子弹时速，模式
MeleeDamageMultiplier 0
//1.0
DamageMultiplier 0
//1.0
SpreadMultiplier 1.0
//1.2
RecoilMultiplier 1.0
//1.2
BulletSpeedMultiplier 1.0
//1.0
ReloadTimeMultiplier 1.0
//1.0

//Description §6[Alpha-联合行动]_§8═══════════════════_§a装备种类>§7通用配件_§a装备类型>§7枪械本体改装_§8═══════════════════_§9命中+20%_§9后坐力+20%

ZoomLevel 1.0
FOVZoomLevel 1.0
ZoomOverlay None
Model TEBL.TEHAC1
Texture KB_1
ModelScale 0.01

//StackSize 64 
