////Name and icon
Name T-Hawk_TAN
ShortName t-hawk_tan
Icon SurgicalAxe
//Colour in Red, Green, Blue, each going up to 255
Colour 255 255 255
////Item and recipe
ItemID 10503
Description 
StackSize 1
CanThrow False
////Visuals
Model mos.Thawk
Texture thawk_tan
ModelScale 0.37
TrailParticles false
//TrailParticleType <particleType>
ExplodeParticles 0
//ExplodeParticleType <particleType>
SmokeTime 0
//SmokeParticleType <particleType>
SpinWhenThrown true
////Throwing
ThrowDelay 50
//ThrowSound <sound>
//DropItemOnThrow <itemID.damage>
////Physics
DetonateOnImpact false
Bounciness 0.1
HitEntityDamage 0
ThrowSpeed 4.00
FallSpeed 2.00
BreaksGlass false
PenetratesBlocks false
HitBoxSize 1.00
Sticky false
//StickToEntity false
//StickToDriveable true
//StickToEntityAfter false
//AllowStickSound true
//StickSoundRange 10
//StickSound SVT40_reload3
//BounceSound <sound>
DropItemOnDetonate t-hawk_tan
////Detonation conditions
VehicleProximityTrigger -1.0
LivingProximityTrigger -1.0
Fuse 100
DetonateWhenShot true
Remote false
DespawnTime 0
PrimeDelay 0
////Detonation
FireRadius 0.0
ExplosionRadius 0.0
ExplosionDamageVsLiving 1.0
ExplosionDamageVsPlane 1.0
ExplosionDamageVsVehicle 1.0
ExplosionBreaksBlocks false
//DropItemOnDetonate <itemID.damage>
//DetonateSound 
////Misc
MeleeDamage 6
ShapelessRecipe t-hawk
