//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name MS ACC
ShortName STEACCH
consumeBulletType 1
bulletsPerReload 3.5
Ammo 30RifleAmmoII
Icon TEACCH
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 39
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2
RandomRecoilRange 1.6
RandomRecoilYawRange 1.6
DecreaseRecoil 0.01
DecreaseRecoilYaw 80.0
//杀伤力
Damage 0.1
//这个值越高，子弹时速的越高
Accuracy 5.4
//循环时间
ShootDelay 2
ShootSound TEACCHShoot
ReloadSound SZ_PDWReload
Mode FullAuto SemiAuto
BulletSpeed 11.0
//6.0
ShowRecoil true
ShowAccuracy true
ShowShowCrosshair True
//ReloadTime true
//机瞄设置
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.1
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model YE2403.TEACCH
Texture TEACCH_2403
ModelScale 0.45
//组件设置
Description §a[轻型弹药(1)]§7消耗：3.5%_§a武器种类>§7PDW-个人防卫武器
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
//NEW2333
ReloadSoundRange 4
GunSoundRange 30
LastShootSound MS_DWShoot
EmptyClickSound MS_DWShoot
// 6
