//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name GR-S 09
ShortName CraftDCSEX
//弹药名称(短名)
consumeBulletType 3
bulletsPerReload 4
Ammo TEMK2051Ammo
Icon CraftDCSEX
//弹药装填时间, 1=20/1秒
ReloadTime 70
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2
//杀伤力
Damage 0.1
//这个值越高，子弹时速的越高
Accuracy 5
//循环时间
ShootDelay 30
WarmupSound JMAIAT308_XL
SpinSound SNOMAD_HZ
CooldownSound SNOMAD_DCS_XL_OUT
ShootSound EMIYiXinShoot
ReloadSound TEAWPReload
Mode SemiAuto
BulletSpeed 36
//机瞄设置
Scope HUD_2051
ZoomLevel 3.5
FOVZoomLevel 1.2
Description §d[特种弹药(3)]§7消耗：4%_§a武器种类>§7RG-轨道炮
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model YE2403.CraftDCSEX
Texture CraftDCSEX_2403
ModelScale 0.45
//组件设置
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments True
AllowGripAttachments True
NumGenericAttachmentSlots 1
