//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name MK20 SSR
ShortName Cus_HesSR2
//弹药名称(短名)
consumeBulletType 3
bulletsPerReload 6
Ammo Cus_HesSR2Ammo11
Icon Cus_HesSR1
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 50
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 5.2
RandomRecoilRange 0.2
RandomRecoilYawRange 1.2
DecreaseRecoil 0.01
DecreaseRecoilYaw 10.0
//杀伤力
Damage 0.1
NumBullets 4
//15.9
//MeleeDamage 0.1
//4
//这个值越高，子弹时速的越高
Accuracy 11.7
//循环时间
ShootDelay 5
ShootSound FHVShoot1
ReloadSound FHVReload1
Mode FullAuto
BulletSpeed 16
//机瞄设置
Scope RSFSV
ZoomLevel 1.5
FOVZoomLevel 1.2
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.Cus_HesSR2
Texture Skin_Gun_Cus_HesSR1
ModelScale 0.45
//组件设置
Description §c[不可装填(X)]§7消耗：§c--§7%_§a武器种类>§7CMR-强攻射手步枪
//
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments True
AllowGripAttachments True
NumGenericAttachmentSlots 0
//NEW2333
// 2

//CasingModel WE_GUN.TE556dk
//CasingTexture TE556dk_2403
FlashModel WE_GUN.TEM61Flash
FlashTexture TEARHBFlash_FHV
