//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name TEM1A_1
ShortName TEM1A_1
//弹药名称(短名)
consumeBulletType 2
bulletsPerReload 5.5
Ammo TEBLSURAmmo
Icon TEM1A_1
//图标颜色:红色，绿色，蓝色, 最高填写 255.
Colour 255 255 255
ItemID 23805
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 55
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2.3
//杀伤力
Damage 0.1
//ShapelessRecipe TEMK14
MeleeDamage 4
//这个值越高，子弹时速的越高
Accuracy 2.3
RandomRecoilRange 1.3
RandomRecoilYawRange 1.3
DecreaseRecoil 0.01
DecreaseRecoilYaw 10.0
//循环时间
ShootDelay 3
ShootSound TEM1AShoot
ReloadSound TEAR1Reload
Mode SemiAuto FullAuto
BulletSpeed 27
//6.0
//机瞄设置
Scope MSGUI_DMR
ZoomLevel 1.5
FOVZoomLevel 1.5
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TEM1A
Texture TEM1A_2403_1
ModelScale 0.45
//组件设置
Description §9[步枪弹药(2)]§7消耗：5.5%_§a武器种类>§7DMR-精确射手步枪_§7[by 020kun]
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
//NEW2333
ReloadSoundRange 4
GunSoundRange 30
LastShootSound MS_DWShoot
EmptyClickSound MS_DWShoot
// 6
//涂装格式“Icon/text”
