//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name MS-USP
ShortName TEHKUSPDP
//弹药名称(短名)
consumeBulletType 6
bulletsPerReload 10
Ammo TEGlockAmmo
Icon TEHKUSP
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 35
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2.7
//杀伤力
Damage 5.1
//OneHanded true
//MeleeDamage 0.1
//3
//这个值越高，子弹时速的越高
Accuracy 3
RandomRecoilRange 0.6
RandomRecoilYawRange 0.6
DecreaseRecoil 0.01
DecreaseRecoilYaw 10.0
//循环时间
ShootDelay 4
ShootSound TEHKUSPShoot
ReloadSound TEGlockReload
Mode FullAuto SemiAuto
BulletSpeed 12.0
//机瞄设置
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.2
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TEARM_2
Texture TEARM_2_2403
ModelScale 1
//组件设置
Description §i[技能设备(6)]§7消耗：10%_§a装备类型>§7战术技能
//
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
AllowGadgetAttachments True
AllowSlideAttachments False
AllowPumpAttachments True
AllowAccessoryAttachments True
NumGenericAttachmentSlots 8
//NEW2333
ReloadSoundRange 4
GunSoundRange 30
LastShootSound MS_DWShoot
EmptyClickSound MS_DWShoot
// 4
