Name SP226
ShortName TEP226_XD
//弹药名称(短名)
consumeBulletType 6
bulletsPerReload 4
Ammo TEGlockAmmo
Icon TEP226_XD
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 35
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2.9
//杀伤力
Damage 0.1
//这个值越高，子弹时速的越高
NumBullets 2
Accuracy 3
RandomRecoilRange 1.2
RandomRecoilYawRange 1.2
DecreaseRecoil 0.01
DecreaseRecoilYaw 10.0
//OneHanded true
//循环时间
ShootDelay 4
ShootSound TEP226_XD
ReloadSound TEGlockReload
Mode FullAuto SemiAuto
BulletSpeed 12.0
//机瞄设置
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.2
UseCustomMelee True
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TEP226_XD
Texture SP226_2403
ModelScale 0.45
//组件设置
Description §f[技能设备(6)]§7消耗：4%_§a武器种类>§7LHG-轻型手枪
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments False
AllowScopeAttachments False
AllowStockAttachments False
AllowGripAttachments False
NumGenericAttachmentSlots 0
//NEW2333
ReloadSoundRange 4
GunSoundRange 30
LastShootSound MS_DWShoot
EmptyClickSound MS_DWShoot
