//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name Kris Lv9
ShortName TEYZYL_Q
//弹药名称(短名)
Ammo TEBQAmmo
consumeBulletType 7
bulletsPerReload 60
ShowCrosshair True
Icon TEYZYL_Q
//弹药装填时间, 1=20/1秒
ReloadTime 10
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 1
//杀伤力
Damage 6
MeleeDamage 14
//这个值越高，子弹时速的越高
Accuracy 1
//循环时间
ShootDelay 5
ShootSound BQ_H1
ReloadSound 
Mode SemiAuto
BulletSpeed 10.0
//机瞄设置
Scope EMIHUD
ZoomLevel 1.0
FOVZoomLevel 1.0
Description §a[随身弹药(7)]§7消耗：60%_§a武器种类>§7MA-近战武器
//近战--------------------------
//The time it takes to perform a melee attack in ticks
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TEYZYL_Q
Texture Skin_Gun_TEYZYL_Q
ModelScale 0.36
//组件设置
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments True
AllowGripAttachments True
NumGenericAttachmentSlots 6
//涂装格式“Icon/text”
//The point on the gun that does the damage
//xyz左右 上下？ 斜切
