//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name ACS-12
ShortName SZ_Gen12
//弹药名称(短名)
consumeBulletType 3
bulletsPerReload 4.5
Ammo TEAA12Ammo10
Icon SZ_Gen12
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 45
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 3.2
RandomRecoilRange 0.8
RandomRecoilYawRange 0.3
DecreaseRecoil 0.01
DecreaseRecoilYaw 10.0
//杀伤力
UseCustomMelee True
Damage 5.6
NumBullets 5
//这个值越高，子弹时速的越高
Accuracy 10.4
//LoadIntoGun 32
//循环时间
ShootDelay 4
ShootSound SZ_Gen12Shoot
ReloadSound TEAR1Reload
Mode FullAuto
BulletSpeed 22.0
//机瞄设置
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.2
//UseCustomMelee True
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.SZ_Gen12
Texture Skin_Gun_SZ_Gen12
ModelScale 0.45
//组件设置
Description §d[特种弹药(3)]§7消耗：4.5%_§a武器种类>§7SG-霰弹枪
//
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments true
AllowScopeAttachments False
AllowStockAttachments true
AllowGripAttachments true
AllowGadgetAttachments True
AllowSlideAttachments False
AllowPumpAttachments False
AllowAccessoryAttachments True
NumGenericAttachmentSlots 8
// 3

CasingModel WE_GUN.TE12SGdk
CasingTexture TE12SGdk_2403
FlashModel WE_GUN.TEM61Flash
FlashTexture TESG1Flash2
