//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name MP7
ShortName C_TMP7
//弹药名称(短名)
consumeBulletType 1
bulletsPerReload 5.8
Ammo TEMP7Ammo
Icon C_TMP7
//图标颜色:红色，绿色，蓝色, 最高填写 255.
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 60
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2
RandomRecoilRange 0.7
RandomRecoilYawRange 0.7
DecreaseRecoil 0.01
DecreaseRecoilYaw 10.0
//杀伤力
BulletSpeed 12
Damage 0.1
NumBullets 2
//5.9
//4
//这个值越高，子弹时速的越高
Accuracy 4
//循环时间
ShootDelay 2
ShootSound CTMP7Shoot
ReloadSound TESMGReload_XD
Mode FullAuto
ShowRecoil true
ShowAccuracy true
ShowShowCrosshair True
//ReloadTime true
//机瞄设置
Scope CEASGO
ZoomLevel 1.1
FOVZoomLevel 1.1
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model YE2403.C_TESMP7S
Texture TESMP7S_2403
ModelScale 0.45
//组件设置
Description §a[轻型弹药(1)]§7消耗：5.8%_§a武器种类>§7RSMG-速射冲锋枪
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
