//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name MS AWM
ShortName TEAWP_GC
//弹药名称(短名)
consumeBulletType 3
bulletsPerReload 5
Ammo TEKar98kEBRAmmo
Icon TEAWP
//图标颜色:红色，绿色，蓝色, 最高填写 255.
Colour 255 255 255
ItemID 23805
//弹药装填时间, 1=20/1秒
ReloadTime 70
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 4
//杀伤力
Damage 35.09
//这个值越高，子弹时速的越高
Accuracy 1
//循环时间
ShootDelay 28
ShootSound TEGODShoot
ReloadSound TEGODReload
Mode SemiAuto
BulletSpeed 100
//20
//10.0
ShowRecoil true
ShowAccuracy true
ShowShowCrosshair True
//ReloadTime true
//机瞄设置
Scope JACK_HUD2
ZoomLevel 2.5
FOVZoomLevel 2.2
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TEAWP
Texture TEAWP_GC_2403
ModelScale 0.45
//组件设置
Description §d[特种弹药(3)]§7消耗：5%_§a武器种类>§7SR-狙击枪
//
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 0
LastShootSound TEGODOut
EmptyClickSound TEGODOut

// 3
