//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name NX-93
ShortName TRUTH03
//弹药名称(短名)
consumeBulletType 7
bulletsPerReload 3
Ammo TRUTH03Ammo
Icon TRUTH03
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 14
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2.8
//杀伤力
Damage 0.1
MeleeDamage 0.1
//这个值越高，子弹时速的越高
Accuracy 7
//循环时间
ShootDelay 1
ShootSound TRUTH04Shoot
ReloadSound NX93Reload
Mode BURST FullAuto
NumBurstRounds 5
BulletSpeed 6.0
//机瞄设置
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.2
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model TEBL.TRUTH03
Texture TRUTH03_2403
ModelScale 0.45
Description §a[随身弹药(7)]§7消耗：3%_§a武器种类>§7HG-手枪
//组件设置
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments True
AllowGripAttachments True
NumGenericAttachmentSlots 0
