Name YQ_TF
ShortName TETFBGM3
//弹药名称(短名)
consumeBulletType 1
bulletsPerReload 0
Ammo TETFBGMAmmo
Icon TETFBGM
ReloadTime 20
Recoil 0
Damage 0.1
Accuracy 0
ShootDelay 120
ShootSound TETFBGM3
ReloadSound SEReload
Mode FullAuto
BulletSpeed 0
DistortSound False
//机瞄设置
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.0
Deployable False
DeployedModel None
Model WE_GUN.TETFBGM
Texture TETFBGM_2403
ModelScale 1.0
//组件设置
Description §a[豆腐音箱]§7无消耗_§a武器种类>§7表情/乐器_播放一段嗨到不行的音频,范围7格~
AllowAllAttachments false
AllowAttachments 
AllowBarrelAttachments False
AllowScopeAttachments False
AllowStockAttachments False
AllowGripAttachments False
NumGenericAttachmentSlots 0
ReloadSoundRange 1
GunSoundRange 7
