//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name 泰瑟枪
ShortName TETaiSe
//弹药名称(短名)
consumeBulletType 7
bulletsPerReload 25
Ammo TETaiSeAmmo
Icon TETaiSe
//弹药装填时间, 1=20/1秒
ShowCrosshair True
ReloadTime 40
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2.1
//杀伤力
Damage 6.5
//OneHanded true
//MeleeDamage 0.1
//3
//这个值越高，子弹时速的越高
Accuracy 2.3
//循环时间
ShootDelay 20
ShootSound TETaiSeShoot
ReloadSound HGNEWReload
Mode FullAuto SemiAuto
BulletSpeed 40.0
//机瞄设置
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.2
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model WE_GUN.TETaiSe
Texture Skin_Gun_TETaiSe
ModelScale 0.43
//组件设置
Description §a[随身弹药(7)]§7消耗：25%_§a武器种类>§7HG-手枪
//
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments 
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
AllowGadgetAttachments True
AllowSlideAttachments False
AllowPumpAttachments True
AllowAccessoryAttachments True
NumGenericAttachmentSlots 8
//NEW2333
// 2
//涂装格式“Icon/text”
//涂装格式“Icon/text”
aimFixedYOffset 0.252
//左右微调
aimSwitchOffset 0
//前后微调
//瞄准进度（开机瞄多久后呈现自定义的角度，我一般是步枪0.5比较自然）
aimSwitchProcess 0.5
