//最后战线制作组编写，版权所有 翻版必究
//作者：2403
Name KS-79
ShortName TEKS79
//弹药名称(短名)
Ammo TEKS79Ammo1
Ammo TEKS79Ammo2
Icon TEKS79
//弹药装填时间, 1=20/1秒
ReloadTime 30
//所有武器的后坐, 例如 : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 3
//杀伤力
Damage 20
//NumBullets 6
//这个值越高，子弹时速的越高
Accuracy 1
LoadIntoGun 5
//循环时间
ShootDelay 6
ShootSound KS79Shoot
ReloadSound TERPG17Reload
Mode SemiAuto
//机瞄设置
Scope MSHUD
ZoomLevel 1.2
FOVZoomLevel 1.0
//部署设置(正常的枪都没有...)
Deployable False
DeployedModel None
//模型设置(没有模型请无视)
Model YE2403.TEKS79
Texture TEKS79_2403
ModelScale 0.45
//组件设置
Description §a<M.S> | §5<品质：尖端>_GL-榴弹发射器_[Grenade Launcher]
AllowAllAttachments false
//列出所有的附件允许对这把枪使用的配件名，用空格分隔(如丧病的最后战线枪械配件)
AllowAttachments HUD_FHZB HUD_PMG20 HUD_SRS99 HUD_TCPL HUD_TCPLXD HUD_TCPLZCL HUD_TEBL HUD_void HUD_voidH HUD_voidT HUD_YJD
AllowBarrelAttachments false
AllowScopeAttachments true
AllowStockAttachments false
AllowGripAttachments false
NumGenericAttachmentSlots 2
