// Identity
Name German 20 cm Ship Gun
ShortName Ships_MG_20cmGun_1A

// Model and Rendering
Icon Icon_Ships_MG_20cmGun_1A
Colour 255 255 255
DeployedModel Manus_Ships.MG.Ships_MG_20cmGun_1
DeployedTexture Skin_Ships_MG_20cmGun_1A

// Recipe and Inventory
Ammo Ships_Shell_German20cmHE

// Weapons
Deployable True
Scope None
Mode FullAuto
Recoil 1
ReloadTime 100
TopViewLimit 0
BottomViewLimit 0
SideViewLimit 0
PivotHeight 0.5
StandBackDistance 1.3
RoundsPerMin 4.0
Dispersion 0.12

// Ballistics and Damage
Damage 1
MuzzleVelocity 925.0

// Sounds
DistortSound False
ShootSound 8ingunauto
ReloadSound BrowningReload
