// Identity
Name Baneblade Demolisher Cannon
ShortName WH40K_MG_BanebladeDemolisherCannon_1A

// Model and Rendering
Icon Icon_WH40K_MG_BanebladeDemolisherCannon_1A
DeployedModel Manus_WH40K.MG.WH40K_MG_BanebladeDemolisherCannon_1
DeployedTexture Skin_WH40K_MG_BanebladeDemolisherCannon_1A

// Recipe and Inventory
Ammo WH40K_Shell_BanebladeDemolisherCannon

// Weapons
Deployable True
Scope None
Mode FullAuto
Recoil 1
ReloadTime 100
TopViewLimit 0
BottomViewLimit 0
SideViewLimit 0
PivotHeight 0.5
StandBackDistance 1.3
RoundsPerMin 12.0
Dispersion 0.2

// Ballistics and Damage
Damage 1
BulletSpeed 10.0

// Sounds
DistortSound False
ShootSound shoot_tnk_120mm
ReloadSound BrowningReload
