// Identity
Name Uk 20mm Ammo for Hispano Mk II - 100 Bullet Box
ShortName WW2_Ammo_MKII
description Amunition for Hispano Mk II

// Model and Rendering
Icon Icon_WW2_Ammo_MKII
Model Bullet

// Recipe and Inventory
MaxStackSize 1
RoundsPerItem 100

// Behaviour
ExplodeOnImpact True
FallSpeed 1.0
Fuse 200
Penetrates False
BreaksGlass True
HitBoxSize 0.1

// Ballistics and Damage
Damage 1
DamageVsLiving 80
DamageVsVehicles 80
DamageVsPlanes 10
Explosion 0
Fire 0
Mass 130
MuzzleVelocity 840
ExplosiveMassTNTg 11
PenetrationAt100m 20

// Sounds
HitSound bullet

// Effects
FlakParticles 0
SmokeTrail True
TrailParticleType smoke
