// Identity
Name MG42 Zweibein
ShortName WW2_MG_MG42ZB_1A

// Model and Rendering
Icon Icon_WW2_MG_MG42ZB_1A
DeployedModel Manus_WW2.MG.WW2_MG_MG42ZB_1
DeployedTexture Skin_WW2_MG_MG42ZB_1A

// Recipe and Inventory
Ammo WW2_Ammo_German792mm
Ammo mg42Ammo250

// Weapons
Deployable True
Scope None
Mode FullAuto
Recoil 1
ReloadTime 100
TopViewLimit 30
BottomViewLimit 10
SideViewLimit 45
PivotHeight 0.375
StandBackDistance 1.3
RoundsPerMin 1200.0
Dispersion 0.38

// Ballistics and Damage
Damage 1
MuzzleVelocity 740.0

// Sounds
DistortSound False
ShootSound MG42Shoot
ReloadSound MG42Reload
