// Identity
Name Barrett .50cal Compact Ammo
ShortName barrettCompactAmmo
Description Ammo Type : .50 Cal Sniper

// Item and rendering
Model Bullet
Colour 255 255 255
Icon BarrettCompactAmmo

// Ammunition
MaxStackSize 6
RoundsPerItem 5

// Ballistics
FallSpeed 1.0
BreaksGlass True
HitBoxSize 0.1
Penetration 5.0
Mass 42.0
PenetrationAt100m 20

// Damage and detonation
Damage 1
Explosion 0
ExplodeOnImpact False
Fuse 0
Fire 0

// Sounds and particles
FlakParticles 0
HitSound bullet
SmokeTrail False
