// Identity
Name 12 Gauge Slug Shell
ShortName 12gslugAmmo
Description Shotgun Ammo : An accurate cartridge loaded to deliver a high mass slug.

// Item and rendering
Model Bullet
Colour 255 255 255
Icon 12GSlugAmmo

// Ammunition
MaxStackSize 32
RoundsPerItem 1
NumBullets 1

// Ballistics
FallSpeed 1.0
Spread 0.1
BreaksGlass True
HitBoxSize 0.3
Penetrates True
Penetration 8.0
Mass 28.0

// Damage and detonation
Damage 11
Explosion 0
ExplodeOnImpact False
Fuse 0
Fire 0

// Sounds and particles
FlakParticles 0
HitSound bullet
