// Identity
Name PAW20 Ammo
ShortName paw20Ammo
Description Grenade Launcher Ammo : 20mm round filled with a gun powder/magnesium mixture. Dentonates via impact.

// Item and rendering
Icon PAW20Ammo
Colour 255 255 255
Model mw.RoundGrenade
Texture RoundGrenade
SpinWhenThrown true

// Ammunition
MaxStackSize 2
RoundsPerItem 8

// Throwing
Bounciness 0.8
ThrowSpeed 8.0
Sticky false

// Ballistics
FallSpeed 1.0
BreaksGlass true
PenetratesBlocks false
HitBoxSize 0.5
Mass 110.0
PenetrationAt100m 8

// Damage and detonation
DetonateOnImpact true
HitEntityDamage 1
VehicleProximityTrigger -1.0
LivingProximityTrigger -1.0
Fuse 120
DetonateWhenShot true
Remote false
PrimeDelay 5
FireRadius 0.0
ExplosionRadius 4.0
ExplosionBreaksBlocks false
ExplosiveMassTNTg 7.5

// Smoke and effects
SmokeTime 0

// Sounds and particles
SmokeTrail True
TrailParticles 1
TrailParticleType flame
ExplodeParticles 6
ExplodeParticleType flame
