// Identity
Name RPG Ammo
ShortName rpgAmmo
Description Rocket Launcher Ammo :

// Item and rendering
Model mw.Rocket
Texture Rocket
Colour 255 255 255
Icon RPGAmmo

// Ammunition
MaxStackSize 2
RoundsPerItem 1

// Ballistics
FallSpeed 0.25
BreaksGlass True
HitBoxSize 0.1
Penetrates False
Mass 2200
MuzzleVelocity 294
PenetrationAt100m 260

// Damage and detonation
DamageVsLiving 20
DamageVsVehicles 400
Explosion 1
ExplodeOnImpact True
ExplosionBreaksBlocks false
Fuse 0
Fire 0
ExplosiveMassTNTg 370

// Sounds and particles
FlakParticles 0
HitSound bullet
SmokeTrail True
TrailParticleType flame
