// Identity
Name Bouncing Grenade
ShortName grenadeLauncherBouncyAmmo
Description Ammo Type : Grenade

// Item and rendering
Icon GrenadeLauncherBouncyAmmo
Colour 255 255 255
Model mw.RoundGrenade
Texture M67
SpinWhenThrown true

// Ammunition
StackSize 16

// Throwing
CanThrow False
ThrowDelay 10
Bounciness 0.8
ThrowSpeed 3.0
Sticky false

// Ballistics
FallSpeed 1.0
BreaksGlass true
PenetratesBlocks false
HitBoxSize 0.5

// Damage and detonation
DetonateOnImpact false
HitEntityDamage 1
VehicleProximityTrigger -1.0
LivingProximityTrigger -1.0
Fuse 40
DetonateWhenShot true
Remote false
PrimeDelay 0
FireRadius 0.0
ExplosionRadius 4.0
ExplosionBreaksBlocks true
MeleeDamage 4
ExplosiveMassTNTg 32
FragType HE_SHELL

// Smoke and effects
SmokeTime 0

// Sounds and particles
TrailParticles false
ExplodeParticles 0
