// Identity
Name Medic Bag
ShortName mwMedicBag

// Item and rendering
Icon MWMedicBag
Colour 255 255 255
Model mw.DeployableBag
Texture MedicBag
SpinWhenThrown false

// Ammunition
StackSize 1
DeployableBag True
NumUses 2
HealAmount 20

// Throwing
ThrowDelay 10
Bounciness 0.0
ThrowSpeed 0.0
Sticky false
DespawnTime 12000

// Ballistics
FallSpeed 1.0
BreaksGlass false
PenetratesBlocks false
HitBoxSize 0.5

// Damage and detonation
DetonateOnImpact false
HitEntityDamage 0
VehicleProximityTrigger -1.0
LivingProximityTrigger -1.0
Fuse 0
DetonateWhenShot false
Remote false
PrimeDelay 20
FireRadius 0.0
ExplosionRadius 0.0
ExplosionBreaksBlocks false
MeleeDamage 2
FragType DEFAULT

// Smoke and effects
SmokeTime 0

// Sounds and particles
TrailParticles false
ExplodeParticles 0
