// Identity
Name G36C
ShortName g36
Description Ammo Type : Assault Rifle

// Item and rendering
Icon G36
Colour 255 255 255
DeployedModel None
Model mw.G36
Texture G36
ModelScale 0.18
Paintjob g36_stoic_blue g36_stoic_blue blue 3
Paintjob g36_stoic_green g36_stoic_green green 3
Paintjob g36_stoic_red g36_stoic_red red 3
Paintjob g36_stoic_orange g36_stoic_orange orange 3
MuzzleFlashModel DefaultMuzzleFlash

// Ammunition
Ammo g36Ammo
Ammo m16a4Ammo
Ammo famasAmmo
Ammo mtarAmmo
Ammo m4CarbineAmmo
Ammo augAmmo
Ammo acrAmmo
Ammo adar15Ammo
Ammo an94Ammo
Ammo ash12Ammo
Ammo galilAmmo
Ammo hcarAmmo
Ammo kcasmartcarbineAmmo
Ammo fnscarAmmo
Ammo betacmag
Ammo apcrrifleAmmo
Ammo l86Ammo
ReloadTime 40

// Operation
Mode FullAuto
Deployable False
CanShootUnderwater False
RoundsPerMin 750.0

// Ballistics
Recoil 2
MuzzleVelocity 730.0
Dispersion 0.2

// Damage and protection
Damage 10

// Optics
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25

// Attachments
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments false
AllowGripAttachments true
NumGenericAttachmentSlots 1

// Sounds
ShootSound G36Shoot
ReloadSound MWMP40Reload
DistortSound True

// Tooltip
ShowAccuracy true
ShowReloadTime true
ShowDamage true
ShowRecoil true
