// Identity
Name Anti-Tank Mine
ShortName ww2Mine

// Item and rendering
Icon WW2Mine
Colour 255 255 255
Model ww2.Mine
Texture WW2Mine
SpinWhenThrown false

// Ammunition
StackSize 4

// Throwing
ThrowDelay 10
Bounciness 0.0
ThrowSpeed 0.0
Sticky false
DespawnTime 12000

// Ballistics
FallSpeed 1.0
BreaksGlass false
PenetratesBlocks false
HitBoxSize 0.5

// Damage and detonation
DetonateOnImpact false
HitEntityDamage 0
VehicleProximityTrigger 1.0
LivingProximityTrigger -1.0
Fuse 0
DetonateWhenShot true
Remote false
PrimeDelay 100
FireRadius 0.0
ExplosionRadius 5.0
ExplosionBreaksBlocks true
MeleeDamage 2
ExplosiveMassTNTKg 5.5
FragType THICK_CASE

// Smoke and effects
SmokeTime 0

// Sounds and particles
TrailParticles false
ExplodeParticles 0
