// Identity
Name Mk. 2 Frag Grenade
ShortName mk2Frag

// Item and rendering
Icon Mk2Grenade
Colour 255 255 255
Model ww2.FragGrenade
Texture mk2frag
SpinWhenThrown true

// Ammunition
StackSize 4

// Throwing
ThrowDelay 10
Bounciness 0.8
ThrowSpeed 2.0
Sticky false

// Ballistics
FallSpeed 1.0
BreaksGlass true
PenetratesBlocks false
HitBoxSize 0.5

// Damage and detonation
DetonateOnImpact false
HitEntityDamage 1
VehicleProximityTrigger -1.0
LivingProximityTrigger -1.0
Fuse 80
DetonateWhenShot true
Remote false
PrimeDelay 0
FireRadius 0.0
ExplosionRadius 4.0
ExplosionBreaksBlocks true
MeleeDamage 4
ExplosiveMassTNTg 85
FragType STD_FRAG

// Smoke and effects
SmokeTime 0

// Sounds and particles
TrailParticles false
ExplodeParticles 0
