// Identity
Name Mosin Nagant
ShortName nagant

// Item and rendering
Icon MosinNagant
Colour 255 255 255
DeployedModel None
Model ww2.Mosin
Texture MosinNagant
ModelScale 1.0

// Ammunition
Ammo nagantAmmo
ReloadTime 50

// Operation
Mode SemiAuto
Deployable False
RoundsPerMin 45.0

// Ballistics
Recoil 8
MuzzleVelocity 865.0
Dispersion 0.15

// Damage and protection
Damage 10

// Optics
Scope None

// Attachments
AllowAllAttachments true
AllowBarrelAttachments false
AllowScopeAttachments false
AllowStockAttachments false
AllowGripAttachments false
NumGenericAttachmentSlots 1

// Sounds
ShootSound MosinNagantShoot
ReloadSound kar98kReload
