// Identity
Name Flare Gun Ammo
ShortName flareGunAmmo

// Item and rendering
Model Bullet
Colour 255 255 255
Icon FlareGunAmmo
HasLight True

// Ammunition
MaxStackSize 8
RoundsPerItem 1

// Ballistics
FallSpeed 1.0
BreaksGlass False
HitBoxSize 0.1
Penetrates True
Mass 90.0

// Damage and detonation
Damage 1
DamageVsVehicles 0.1
Explosion 0
ExplodeOnImpact False
Fuse 400
Fire 0
SetEntitiesOnFire True

// Sounds and particles
FlakParticles 0
HitSound bullet
SmokeTrail True
TrailParticleType reddust
