// Identity
Name Bear Trap
ShortName bearTrap

// Item and rendering
Icon BearTrap
Colour 255 255 255
Model zombie.BearTrap
Texture BearTrap
SpinWhenThrown false

// Ammunition
StackSize 3

// Throwing
ThrowDelay 10
Bounciness 0.0
ThrowSpeed 0.0
Sticky false
DespawnTime 0

// Ballistics
FallSpeed 1.0
BreaksGlass false
PenetratesBlocks false
HitBoxSize 0.5

// Damage and detonation
DetonateOnImpact false
HitEntityDamage 0
VehicleProximityTrigger -1.0
LivingProximityTrigger 1.0
DamageToTriggerer 15.0
Fuse 0
DetonateWhenShot true
Remote false
PrimeDelay 40
FireRadius 0.0
ExplosionRadius 0.0
ExplosionBreaksBlocks false
MeleeDamage 2
FragType DEFAULT

// Smoke and effects
SmokeTime 0

// Sounds and particles
TrailParticles false
ExplodeParticles 0
DetonateSound BearTrap
