// Identity
Name 75mm M61 APCBC-HE (M3/M6)
ShortName 44_75APCBCShell
Description Armour-piercing capped ballistic-capped shell for the 75 mm M3 and M6

// Rendering
Icon 44_75apshell
Model W44.W44ShellMedium
Texture Skin44_W44Shell_Orange
Colour 255 255 255
HasLight True

// Recipe and inventory
MaxStackSize 3
RoundsPerItem 1

// Ammunition
WeaponType Shell
Bomb False
Shell True

// Ballistics
MuzzleVelocity 618
FallSpeed 1
HitBoxSize 1.0
Penetrates False
PenetrationAt100m 102
BreaksGlass True

// Damage
Mass 6790
Damage 1
DamageVsLiving 200
DamageVsVehicles 1002
Fire 0

// Explosion
ExplosiveMassTNTg 65
Explosion 1
ExplodeOnImpact True
Fuse 200
HasSubmunitions false

// Effects
SmokeTrail True
TrailParticleType flansmod.fmtracer
FlakParticles 0
ExplodeParticles 8
FlareParticleCount 4
DebrisParticleCount 3

// Sounds
HitSound
