// Identity
Name 76mm M93 HVAP (M1)
ShortName 44_76HVAPShell
Description Hyper-velocity armour-piercing shot for the 76 mm gun M1

// Rendering
Icon 44_76apshelllong
Model W44.W44ShellMedium
Texture Skin44_W44Shell_Orange
Colour 255 255 255
HasLight True

// Recipe and inventory
MaxStackSize 2
RoundsPerItem 1

// Ammunition
WeaponType Shell
Bomb False
Shell True

// Ballistics
MuzzleVelocity 1036
FallSpeed 1
HitBoxSize 1.0
Penetrates False
PenetrationAt100m 190
BreaksGlass True

// Damage
Mass 4260
Damage 1
DamageVsLiving 125
DamageVsVehicles 1248
Fire 0

// Explosion
Explosion 1
ExplodeOnImpact True
Fuse 200
HasSubmunitions false

// Effects
SmokeTrail True
TrailParticleType flansmod.fmtracer
FlakParticles 0
ExplodeParticles 8
FlareParticleCount 4
DebrisParticleCount 4

// Sounds
HitSound
