// Identity
Name 90mm M82 APCBC-HE (M3)
ShortName 44_90APCBCShell
Description Armour-piercing capped shell for the 90 mm gun M3

// Rendering
Icon 44_90apshell
Model W44.W44ShellLarge
Texture Skin44_W44Shell_Orange
Colour 255 255 255
HasLight True

// Recipe and inventory
MaxStackSize 3
RoundsPerItem 1

// Ammunition
WeaponType Shell
Bomb False
Shell True

// Ballistics
MuzzleVelocity 808
FallSpeed 1
HitBoxSize 1.0
Penetrates False
PenetrationAt100m 164
BreaksGlass True

// Damage
Mass 10940
Damage 1
DamageVsLiving 175
DamageVsVehicles 1875
Fire 0

// Explosion
ExplosiveMassTNTg 133
Explosion 1
ExplodeOnImpact True
Fuse 200

// Effects
SmokeTrail True
TrailParticleType flansmod.fmtracer
FlakParticles 0
ExplodeParticles 10
FlareParticleCount 7
DebrisParticleCount 6

// Sounds
HitSound
