// Identity
Name Mk2Frag
ShortName 44_Mk2Frag
Description American Grenade

// Rendering
Icon 44_Mk2Frag
Model W44.Mk2Frag
Texture Skin44_Mk2Frag
Colour 255 255 255

// Inventory
StackSize 4

// Throwing and physics
ThrowSpeed 2.0
ThrowDelay 10
FallSpeed 1.0
Bounciness 0.8
HitBoxSize 0.5
SpinWhenThrown true
Sticky false
PenetratesBlocks false
BreaksGlass true

// Damage and healing
HitEntityDamage 1
MeleeDamage 4

// Detonation and explosion
Fuse 80
PrimeDelay 0
DetonateOnImpact false
DetonateWhenShot true
Remote false
LivingProximityTrigger -1.0
VehicleProximityTrigger -1.0
ExplosiveMassTNTg 85
FragType STD_FRAG
ExplosionRadius 3.0
ExplosionDamageVsLiving 3.0
ExplosionDamageVsVehicle 1.5
ExplosionDamageVsPlane 1.0
ExplosionBreaksBlocks true
FireRadius 0.0

// Effects
TrailParticles false
ExplodeParticles 3
SmokeTime 0
