// Identity
Name Smoke Detonator
ShortName SmokeDetonator

// Item and rendering
Icon itemthermaldetonator
Colour 255 255 255
StackSize 4
Model wolffstarwars.ThermalDetonator
Texture thermaldetonatorsmoke
ModelScale 1.2

// Throwing
SpinWhenThrown true
ThrowDelay 8
ThrowSpeed 2.0

// Physics
Bounciness 0.8
FallSpeed 1.0
BreaksGlass true
PenetratesBlocks false
HitBoxSize 0.5
Sticky false

// Detonation
DetonateOnImpact false
VehicleProximityTrigger -1.0
LivingProximityTrigger -1.0
DetonateWhenShot true
PrimeDelay 0
Fuse 80

// Damage and explosion
HitEntityDamage 1
FireRadius 0.0
ExplosionRadius 0.0
ExplosionBreaksBlocks false
FragType DEFAULT

// Smoke and effects
SmokeTime 600
SmokeEffect 15 100 0
SmokeEffect 2 100 0
SmokeRadius 5

// Sounds and particles
TrailParticles false
ExplodeParticles 0
ThrowSound detonator
