// Identity
Name Grey Lightsaber
ShortName LightSaberGrey

// Item and rendering
Icon lightsabergrey
Colour 255 255 255
Model wolffstarwars.Lightsaber
Texture lightsabergrey

// Ammunition
ReloadTime 0

// Operation
ShootDelay 15
Mode SemiAuto
OneHanded True

// Ballistics
Recoil 0
Accuracy 0

// Damage and protection
Damage 0
MeleeDamage 20

// Optics
Scope None
FOVZoomLevel 1.0

// Sounds
ShootSound lightsaber_swing
ReloadSound lugerReload
MeleeSound lightsaber_swing
IdleSound lightsaber_idle
IdleSoundLength 15

// Tooltip
ShowDamage False
ShowRecoil False
ShowAccuracy False
ShowReloadTime False
ShowShootDelay False
ShowBulletSpeed False
ShowMode False
